epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.74397,1.86046,4.47303,1.42961,0.0159,0.34844,0.09563,0.07739,0.75265,4.08322,0.86687,9.375e-05,9.375e-05,9.375e-05
2,6.26169,1.55571,3.66916,1.12983,0.04455,0.84925,0.18108,0.13233,0.99906,3.65845,0.88079,0.000191832,0.000191832,0.000191832
3,13.6484,1.46123,3.02057,1.11309,0.51698,0.31715,0.20775,0.164,0.85622,2.87285,0.86216,0.000287934,0.000287934,0.000287934
4,16.0613,1.44998,2.68401,1.11276,0.05233,0.99561,0.264,0.2108,0.84379,2.93531,0.87761,0.000382056,0.000382056,0.000382056
5,18.4751,1.42571,2.35499,1.12764,0.09611,0.96058,0.27542,0.21203,0.90103,2.80208,0.91253,0.000474197,0.000474197,0.000474197
6,20.8799,1.40272,2.18617,1.09935,0.27622,0.2637,0.29172,0.22031,0.89814,2.64091,0.92401,0.000564359,0.000564359,0.000564359
7,23.2602,1.3299,1.98006,1.08064,0.34449,0.38527,0.36744,0.27253,0.84921,2.14607,0.91339,0.000587875,0.000587875,0.000587875
8,25.635,1.32186,1.83176,1.07961,0.33924,0.5406,0.45027,0.3442,0.83381,2.07895,0.9068,0.000581687,0.000581687,0.000581687
9,28.0383,1.30224,1.73251,1.0834,0.39698,0.62991,0.51347,0.38281,0.92116,1.78348,0.92235,0.0005755,0.0005755,0.0005755
10,30.4573,1.32676,1.66108,1.08716,0.5321,0.65872,0.57315,0.4598,0.7709,1.61053,0.90601,0.000569313,0.000569313,0.000569313
11,32.828,1.25608,1.53826,1.06614,0.49305,0.73147,0.64006,0.51383,0.76087,1.46441,0.89706,0.000563125,0.000563125,0.000563125
12,35.2041,1.20836,1.43715,1.05238,0.58283,0.64787,0.66508,0.52547,0.81312,1.44443,0.9227,0.000556938,0.000556938,0.000556938
13,37.5739,1.18969,1.40805,1.04987,0.59369,0.70505,0.70721,0.57339,0.76588,1.48398,0.90747,0.00055075,0.00055075,0.00055075
14,39.949,1.15448,1.307,1.03608,0.60226,0.77109,0.74094,0.60818,0.72197,1.36029,0.8986,0.000544563,0.000544563,0.000544563
15,42.35,1.13517,1.2453,1.03802,0.65908,0.73634,0.76683,0.61016,0.79163,1.28364,0.9156,0.000538375,0.000538375,0.000538375
